file,true_mod,snr_db,hypothesis,correct,carrier_lock,measured_ber,decodes,status,other_failed
2fsk_20dB_5029,2fsk,20.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_5029,2fsk,20.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_5029,2fsk,20.0,8psk,False,,1.0,False,failed,signal_present
2fsk_20dB_5029,2fsk,20.0,16qam,False,,1.0,False,failed,signal_present
2fsk_20dB_6029,2fsk,20.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_6029,2fsk,20.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_6029,2fsk,20.0,8psk,False,,1.0,False,failed,signal_present
2fsk_20dB_6029,2fsk,20.0,16qam,False,,1.0,False,failed,signal_present
2fsk_20dB_7029,2fsk,20.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_7029,2fsk,20.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_7029,2fsk,20.0,8psk,False,,1.0,False,failed,signal_present
2fsk_20dB_7029,2fsk,20.0,16qam,False,,1.0,False,failed,signal_present
2fsk_20dB_8029,2fsk,20.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_8029,2fsk,20.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_20dB_8029,2fsk,20.0,8psk,False,,1.0,False,failed,signal_present
2fsk_20dB_8029,2fsk,20.0,16qam,False,,1.0,False,failed,signal_present
2fsk_4dB_2024,2fsk,4.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_2024,2fsk,4.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_2024,2fsk,4.0,8psk,False,,1.0,False,failed,signal_present
2fsk_4dB_2024,2fsk,4.0,16qam,False,,1.0,False,failed,signal_present
2fsk_4dB_3024,2fsk,4.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_3024,2fsk,4.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_3024,2fsk,4.0,8psk,False,,1.0,False,failed,signal_present
2fsk_4dB_3024,2fsk,4.0,16qam,False,,1.0,False,failed,signal_present
2fsk_4dB_4024,2fsk,4.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_4024,2fsk,4.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_4024,2fsk,4.0,8psk,False,,1.0,False,failed,signal_present
2fsk_4dB_4024,2fsk,4.0,16qam,False,,1.0,False,failed,signal_present
2fsk_4dB_5024,2fsk,4.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_5024,2fsk,4.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_5024,2fsk,4.0,8psk,False,,1.0,False,failed,signal_present
2fsk_4dB_5024,2fsk,4.0,16qam,False,,1.0,False,failed,signal_present
2fsk_4dB_6024,2fsk,4.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_6024,2fsk,4.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_6024,2fsk,4.0,8psk,False,,1.0,False,failed,signal_present
2fsk_4dB_6024,2fsk,4.0,16qam,False,,1.0,False,failed,signal_present
2fsk_4dB_7024,2fsk,4.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_7024,2fsk,4.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_7024,2fsk,4.0,8psk,False,,1.0,False,failed,signal_present
2fsk_4dB_7024,2fsk,4.0,16qam,False,,1.0,False,failed,signal_present
2fsk_4dB_8024,2fsk,4.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_8024,2fsk,4.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_4dB_8024,2fsk,4.0,8psk,False,,1.0,False,failed,signal_present
2fsk_4dB_8024,2fsk,4.0,16qam,False,,1.0,False,failed,signal_present
2fsk_8dB_2025,2fsk,8.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_8dB_2025,2fsk,8.0,qpsk,False,,1.0,False,failed,signal_present
