file,true_mod,snr_db,arm,chosen_mod,mod_correct,status,confidence,est_ber,est_ber_valid,measured_ber,decodes,confidently_wrong,old_rule_ok,lock_failures,chain_runs,secs,reason
2fsk_15dB_8028,2fsk,15,s2-top,2fsk,True,ok,0.9218,0.0,True,0.0,True,False,True,,1,0.063,
2fsk_15dB_8028,2fsk,15,search,2fsk,True,ok,0.9218,0.0,True,0.0,True,False,True,,1,0.275,
2fsk_20dB_2029,2fsk,20,truth-params,2fsk,True,ok,0.9558,0.0,True,0.0,True,False,True,,1,0.065,
2fsk_20dB_2029,2fsk,20,s2-top,2fsk,True,ok,0.9558,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_20dB_2029,2fsk,20,search,2fsk,True,ok,0.9558,0.0,True,0.0,True,False,True,,1,0.273,
2fsk_20dB_3029,2fsk,20,truth-params,2fsk,True,ok,0.9557,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_20dB_3029,2fsk,20,s2-top,2fsk,True,ok,0.9557,0.0,True,0.0,True,False,True,,1,0.07,
2fsk_20dB_3029,2fsk,20,search,2fsk,True,ok,0.9557,0.0,True,0.0,True,False,True,,1,0.261,
2fsk_20dB_4029,2fsk,20,truth-params,2fsk,True,ok,0.9558,0.0,True,0.0,True,False,True,,1,0.063,
2fsk_20dB_4029,2fsk,20,s2-top,2fsk,True,ok,0.9558,0.0,True,0.0,True,False,True,,1,0.067,
2fsk_20dB_4029,2fsk,20,search,2fsk,True,ok,0.9558,0.0,True,0.0,True,False,True,,1,0.274,
2fsk_20dB_5029,2fsk,20,truth-params,2fsk,True,ok,0.9559,0.0,True,0.0,True,False,True,,1,0.072,
2fsk_20dB_5029,2fsk,20,s2-top,2fsk,True,ok,0.9559,0.0,True,0.0,True,False,True,,1,0.066,
2fsk_20dB_5029,2fsk,20,search,2fsk,True,ok,0.9559,0.0,True,0.0,True,False,True,,1,0.262,
2fsk_20dB_6029,2fsk,20,truth-params,2fsk,True,ok,0.9558,0.0,True,0.0,True,False,True,,1,0.065,
2fsk_20dB_6029,2fsk,20,s2-top,2fsk,True,ok,0.9558,0.0,True,0.0,True,False,True,,1,0.07,
2fsk_20dB_6029,2fsk,20,search,2fsk,True,ok,0.9558,0.0,True,0.0,True,False,True,,1,0.269,
2fsk_20dB_7029,2fsk,20,truth-params,2fsk,True,ok,0.9556,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_20dB_7029,2fsk,20,s2-top,2fsk,True,ok,0.9556,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_20dB_7029,2fsk,20,search,2fsk,True,ok,0.9556,0.0,True,0.0,True,False,True,,1,0.268,
2fsk_20dB_8029,2fsk,20,truth-params,2fsk,True,ok,0.9557,0.0,True,0.0,True,False,True,,1,0.064,
2fsk_20dB_8029,2fsk,20,s2-top,2fsk,True,ok,0.9557,0.0,True,0.0,True,False,True,,1,0.067,
2fsk_20dB_8029,2fsk,20,search,2fsk,True,ok,0.9557,0.0,True,0.0,True,False,True,,1,0.26,
