case,seed,path,plugin,declared_fs,raised,status,modulation,chain_runs,n_llrs,finite,rate_used,ber,secs,trace
clipped (saturated),5,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.4603673997335136,
clipped (saturated),5,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.7903849999420345,
clipped (saturated),5,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.7997719999402761,
clipped (saturated),5,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.08463970012962818,
clipped (saturated),5,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.11661979975178838,
clipped (saturated),6,blind search,,200000.0,,ok,qpsk,1,57774,True,50000.01917063963,0.0,1.0085841999389231,
clipped (saturated),6,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.4904819000512362,
clipped (saturated),6,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.496200599707663,
clipped (saturated),6,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.863777399994433,
clipped (saturated),6,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.683085000142455,
clipped (saturated),6,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.09159359987825155,
clipped (saturated),6,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.10200680000707507,
clipped (saturated),7,blind search,,200000.0,,ok,qpsk,1,57774,True,50000.01347886879,0.0,0.9858284001238644,
clipped (saturated),7,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.5029197996482253,
clipped (saturated),7,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.5974930999800563,
clipped (saturated),7,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.7235165000893176,
clipped (saturated),7,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.6635795999318361,
clipped (saturated),7,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.09054639982059598,
clipped (saturated),7,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.09980119997635484,
two overlapping signals,0,blind search,,200000.0,,low_confidence,2fsk,12,29999,True,50000.072356060424,0.48505,6.156146599911153,
two overlapping signals,0,plug-in,bpsk,200000.0,,low_confidence,bpsk,,,True,,,1.4609897998161614,
two overlapping signals,0,plug-in,qpsk,200000.0,,low_confidence,qpsk,,,True,,,1.5243552001193166,
two overlapping signals,0,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.8023693999275565,
