kind,file,true_mod,true_family,snr_db,family_asked,proposed_rate,true_rate,rel_error,score,screen
corpus,4fsk_4dB_4030,4fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,49.267,pass
corpus,4fsk_4dB_5030,4fsk,fsk,4.0,psk,71672.06,50000.0,0.433441,3.969,fail
corpus,4fsk_4dB_5030,4fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,50.456,pass
corpus,4fsk_4dB_6030,4fsk,fsk,4.0,psk,31690.98,50000.0,0.36618,4.188,fail
corpus,4fsk_4dB_6030,4fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,47.617,pass
corpus,4fsk_4dB_7030,4fsk,fsk,4.0,psk,3713.99,50000.0,0.92572,4.173,fail
corpus,4fsk_4dB_7030,4fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,50.359,pass
corpus,4fsk_4dB_8030,4fsk,fsk,4.0,psk,21055.6,50000.0,0.578888,3.999,fail
corpus,4fsk_4dB_8030,4fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,51.876,pass
corpus,4fsk_8dB_2031,4fsk,fsk,8.0,psk,47712.71,50000.0,0.045746,4.644,unknown
corpus,4fsk_8dB_2031,4fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,104.757,pass
corpus,4fsk_8dB_3031,4fsk,fsk,8.0,psk,12591.55,50000.0,0.748169,4.077,fail
corpus,4fsk_8dB_3031,4fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,101.081,pass
corpus,4fsk_8dB_4031,4fsk,fsk,8.0,psk,76667.79,50000.0,0.533356,4.203,fail
corpus,4fsk_8dB_4031,4fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,96.144,pass
corpus,4fsk_8dB_5031,4fsk,fsk,8.0,psk,28025.82,50000.0,0.439484,4.075,fail
corpus,4fsk_8dB_5031,4fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,103.33,pass
corpus,4fsk_8dB_6031,4fsk,fsk,8.0,psk,25639.34,50000.0,0.487213,4.094,fail
corpus,4fsk_8dB_6031,4fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,98.496,pass
corpus,4fsk_8dB_7031,4fsk,fsk,8.0,psk,19735.72,50000.0,0.605286,4.548,unknown
corpus,4fsk_8dB_7031,4fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,97.098,pass
corpus,4fsk_8dB_8031,4fsk,fsk,8.0,psk,72882.08,50000.0,0.457642,3.754,fail
corpus,4fsk_8dB_8031,4fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,104.166,pass
corpus,8psk_10dB_2014,8psk,psk,10.0,psk,50000.0,50000.0,0.0,45.582,pass
corpus,8psk_10dB_2014,8psk,psk,10.0,fsk,50000.0,50000.0,0.0,26.138,pass
corpus,8psk_10dB_3014,8psk,psk,10.0,psk,50000.0,50000.0,0.0,42.515,pass
corpus,8psk_10dB_3014,8psk,psk,10.0,fsk,50000.0,50000.0,0.0,26.004,pass
corpus,8psk_10dB_4014,8psk,psk,10.0,psk,50000.0,50000.0,0.0,43.276,pass
corpus,8psk_10dB_4014,8psk,psk,10.0,fsk,50000.0,50000.0,0.0,26.874,pass
corpus,8psk_10dB_5014,8psk,psk,10.0,psk,50000.0,50000.0,0.0,43.274,pass
corpus,8psk_10dB_5014,8psk,psk,10.0,fsk,50000.0,50000.0,0.0,27.219,pass
